Titlu,Living,Bucătărie,Dormitor matrimonial,Baie,Hol,Dormitor,Suprafață utilă,Balcon,Suprafață utilă totală,Suprafață construită,Bloc,Scara,Apt.,Etaj,Disponibilitate
Apartament 3 camere London tip 2 parter,"22,82 mp","9,29 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp",N/A,N/A,"73,92 mp","87,76 mp",11,,10,Parter,Disponibil
Apartament 3 camere London tip 2 parter,"22,82 mp","9,29 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp",N/A,N/A,"73,92 mp","87,76 mp",12,,4,Parter,Disponibil
Apartament 3 camere London tip 2 parter,"22,82 mp","9,29 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp",N/A,N/A,"73,92 mp","87,76 mp",12,,10,Parter,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",7,,18,Etaj 1,Rezervat
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",7,,33,Etaj 2,Rezervat
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",7,,48,Etaj 3,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",8,,18,Etaj 1,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",8,,33,Etaj 2,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",8,,48,Etaj 3,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",9,,18,Etaj 1,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",9,,33,Etaj 2,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",9,,48,Etaj 3,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",10,,18,Etaj 1,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",10,,33,Etaj 2,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",10,,48,Etaj 3,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",11,,18,Etaj 1,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",11,,33,Etaj 2,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",11,,48,Etaj 3,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",12,,18,Etaj 1,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",12,,33,Etaj 2,Disponibil
Apartament 3 camere London tip 3,"22,77 mp","13,12 mp","15,17 mp","4,90 mp","4,04 mp","14,04 mp","77,70 mp","11,05 mp","88,75 mp","92,56 mp",12,,48,Etaj 3,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",7,,24,Etaj 1,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",7,,39,Etaj 2,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",7,,54,Etaj 3,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",8,,24,Etaj 1,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",8,,39,Etaj 2,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",8,,54,Etaj 3,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",9,,24,Etaj 1,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",9,,39,Etaj 2,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",9,,54,Etaj 3,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",10,,24,Etaj 1,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",10,,39,Etaj 2,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",10,,54,Etaj 3,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",11,,24,Etaj 1,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",11,,39,Etaj 2,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",11,,54,Etaj 3,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",12,,24,Etaj 1,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",12,,39,Etaj 2,Disponibil
Apartament 3 camere London tip 4,"22,38 mp","9,34 mp","15,33 mp","4,90 mp","4,19 mp","14,04 mp","74,01 mp","7,20 mp","81,21 mp","87,82 mp",12,,54,Etaj 3,Disponibil
